taxon_order,species_code,bio_concept_code,primary_com_name,sci_name,value
673,speeid,7D8BF5CC,Spectacled Eider,Somateria fischeri,IUCN_NT
674,kineid,F3D74914,King Eider,Somateria spectabilis,IUCN_LC
676,comeid,B77377EE,Common Eider,Somateria mollissima,IUCN_NT
687,harduc,BCBD2EAE,Harlequin Duck,Histrionicus histrionicus,IUCN_LC
688,sursco,624078BA,Surf Scoter,Melanitta perspicillata,IUCN_LC
689,whwsco3,BAF44E36,Velvet Scoter,Melanitta fusca,IUCN_VU
690,whwsco2,4800D6B6,White-winged Scoter,Melanitta deglandi,IUCN_LC
691,whwsco1,1A601D86,Stejneger's Scoter,Melanitta stejnegeri,IUCN_LC
695,blksco1,24698199,Common Scoter,Melanitta nigra,IUCN_LC
696,blksco2,B7B1A5DD,Black Scoter,Melanitta americana,IUCN_NT
700,lotduc,AF0C7BDE,Long-tailed Duck,Clangula hyemalis,IUCN_VU
701,buffle,FB738385,Bufflehead,Bucephala albeola,IUCN_LC
702,comgol,68EA281A,Common Goldeneye,Bucephala clangula,IUCN_LC
707,bargol,9456DEDF,Barrow's Goldeneye,Bucephala islandica,IUCN_LC
710,smew,F1F52036,Smew,Mergellus albellus,IUCN_LC
712,hoomer,60E6081E,Hooded Merganser,Lophodytes cucullatus,IUCN_LC
719,auimer1,EDDA42ED,Auckland Islands Merganser,Mergus australis,IUCN_EX
720,commer,407E2CA8,Common Merganser,Mergus merganser,IUCN_LC
727,bramer1,9DAC1E8B,Brazilian Merganser,Mergus octosetaceus,IUCN_CR
728,rebmer,8DB64266,Red-breasted Merganser,Mergus serrator,IUCN_LC
732,scsmer1,561D77FF,Scaly-sided Merganser,Mergus squamatus,IUCN_EN
734,blhduc1,5ACD60F4,Black-headed Duck,Heteronetta atricapilla,IUCN_LC
735,masduc,98C6F885,Masked Duck,Nomonyx dominicus,IUCN_LC
736,rudduc,675EEA7F,Ruddy Duck,Oxyura jamaicensis,IUCN_LC
738,andduc1,3DB916F5,Andean Duck,Oxyura ferruginea,IUCN_LC
741,whhduc1,2E40EF2C,White-headed Duck,Oxyura leucocephala,IUCN_EN
743,macduc1,1C2F4E80,Maccoa Duck,Oxyura maccoa,IUCN_EN
744,lakduc1,079A8245,Lake Duck,Oxyura vittata,IUCN_LC
746,blbduc1,672BA2DA,Blue-billed Duck,Oxyura australis,IUCN_LC
747,musduc1,623B61C4,Musk Duck,Biziura lobata,IUCN_LC
753,ausbrt1,6BD20F58,Australian Brushturkey,Alectura lathami,IUCN_LC
756,watbrt1,6637487,Wattled Brushturkey,Aepypodius arfakianus,IUCN_LC
759,brubrt1,638C9A70,Waigeo Brushturkey,Aepypodius bruijnii,IUCN_EN
760,rebbrt1,9F3603B0,Red-billed Brushturkey,Talegalla cuvieri,IUCN_LC
763,bkbbrt1,4.99E+08,Yellow-legged Brushturkey,Talegalla fuscirostris,IUCN_LC
768,bncbrt1,DF603601,Red-legged Brushturkey,Talegalla jobiensis,IUCN_LC
772,mallee1,BE7FA465,Malleefowl,Leipoa ocellata,IUCN_VU
773,maleo1,7B3B8F2F,Maleo,Macrocephalon maleo,IUCN_CR
774,molscr1,9CE98D28,Moluccan Megapode,Eulipoa wallacei,IUCN_VU
