species_code	authority_ver	taxon_order	category	sci_name	primary_com_name	order1	family_sci_name	bio_concept_code	
brhgul2	2023	6431	species	Chroicocephalus maculipennis	Brown-hooded Gull	Charadriiformes	Laridae	F8F183DD	
blbgul1	2023	6428	species	Chroicocephalus bulleri	Black-billed Gull	Charadriiformes	Laridae	1E12A4D6	
silgul2	2023	6423	species	Chroicocephalus novaehollandiae	Silver Gull	Charadriiformes	Laridae	AD086862	
silgul1	2023	6424	issf	Chroicocephalus novaehollandiae novaehollandiae/forsteri	Silver Gull (Silver)	Charadriiformes	Laridae		
rebgul1	2023	6427	subspecies	Chroicocephalus novaehollandiae scopulinus	Silver Gull (Red-billed)	Charadriiformes	Laridae	A66A6635	
grhgul	2023	6440	species	Chroicocephalus cirrocephalus	Gray-hooded Gull	Charadriiformes	Laridae	6EB497FA	
hargul1	2023	6444	species	Chroicocephalus hartlaubii	Hartlaub's Gull	Charadriiformes	Laridae	5941F453	
bkhgul	2023	6434	species	Chroicocephalus ridibundus	Black-headed Gull	Charadriiformes	Laridae	FB02DD96	
bnhgul1	2023	6437	species	Chroicocephalus brunnicephalus	Brown-headed Gull	Charadriiformes	Laridae	C2868E7A	
litgul	2023	6407	species	Hydrocoloeus minutus	Little Gull	Charadriiformes	Laridae	F89FD6E3	
rosgul	2023	6408	species	Rhodostethia rosea	Ross's Gull	Charadriiformes	Laridae	4CD353D2	
dolgul2	2023	6447	species	Leucophaeus scoresbii	Dolphin Gull	Charadriiformes	Laridae	683C03D9	
grygul	2023	6446	species	Leucophaeus modestus	Gray Gull	Charadriiformes	Laridae	804CCA3A	
laugul	2023	6448	species	Leucophaeus atricilla	Laughing Gull	Charadriiformes	Laridae	6CDC3C9C	
fragul	2023	6452	species	Leucophaeus pipixcan	Franklin's Gull	Charadriiformes	Laridae	57C93A74	
lavgul1	2023	6455	species	Leucophaeus fuliginosus	Lava Gull	Charadriiformes	Laridae	D97BE642	
medgul1	2023	6459	species	Ichthyaetus melanocephalus	Mediterranean Gull	Charadriiformes	Laridae	052BFA8A	
relgul2	2023	6457	species	Ichthyaetus relictus	Relict Gull	Charadriiformes	Laridae	166CE0D7	
whegul2	2023	6463	species	Ichthyaetus leucophthalmus	White-eyed Gull	Charadriiformes	Laridae	A7F240E3	
soogul2	2023	6462	species	Ichthyaetus hemprichii	Sooty Gull	Charadriiformes	Laridae	67D43542	
gbhgul2	2023	6456	species	Ichthyaetus ichthyaetus	Pallas's Gull	Charadriiformes	Laridae	EF930CDC	
audgul1	2023	6458	species	Ichthyaetus audouinii	Audouin's Gull	Charadriiformes	Laridae	F7B9355E	
belgul	2023	6467	species	Larus belcheri	Belcher's Gull	Charadriiformes	Laridae	2864A5B0	
olrgul1	2023	6469	species	Larus atlanticus	Olrog's Gull	Charadriiformes	Laridae	E2967A3F	
bktgul	2023	6468	species	Larus crassirostris	Black-tailed Gull	Charadriiformes	Laridae	8C4CE60F	
pacgul1	2023	6464	species	Larus pacificus	Pacific Gull	Charadriiformes	Laridae	C08157E7	
heegul	2023	6470	species	Larus heermanni	Heermann's Gull	Charadriiformes	Laridae	6996D540	
mewgul	2023	6471	species	Larus canus	Common Gull	Charadriiformes	Laridae	00DA9D91	
comgul1	2023	6472	subspecies	Larus canus canus	Common Gull (European)	Charadriiformes	Laridae	F4D98B48	
mewgul3	2023	6473	subspecies	Larus canus heinei	Common Gull (Russian)	Charadriiformes	Laridae	E32324CD	
kamgul1	2023	6474	subspecies	Larus canus kamtschatschensis	Common Gull (Kamchatka)	Charadriiformes	Laridae	C6A8FC17	
