Scientific_name_eBird,English_name,Scientific_name_BirdLife,Continent,Peak_HTI,LowerCI_Peak_HTI,UpperCI_Peak_HTI,Conservative_HTI,LowerCI_Conservative_HTI,UpperCI_Conservative_HTI,Maximum_HTI,LowerCI_Maximum_HTI,UpperCI_Maximum_HTI,Missing_resampling_replicates
Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Europe,29.304,29.04426685,29.56373315,49.924,49.8514038,49.9965962,50,50,50,0
Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Africa,8.511363636,5.054678193,11.96804908,48.99090909,48.37969705,49.60212113,50,50,50,6
Accipiter novaehollandiae,Gray Goshawk,Accipiter novaehollandiae,Oceania,28.196,27.21415793,29.17784207,47.1,46.7069531,47.4930469,49.932,49.87880062,49.98519938,0
Accipiter ovampensis,Ovambo Sparrowhawk,Accipiter ovampensis,Africa,16.978,16.32914158,17.62685842,28.878,28.39997367,29.35602633,36.67,35.93721719,37.40278281,0
Accipiter rufiventris,Rufous-breasted Sparrowhawk,Accipiter rufiventris,Africa,7.080487805,6.019926119,8.141049491,21.09268293,18.86391387,23.32145199,28.56097561,26.84385943,30.27809179,9
Accipiter striatus,Sharp-shinned Hawk,Accipiter striatus,Latin_America,4.128888889,3.135477973,5.122299805,45.46222222,44.69990585,46.22453859,49.22666667,48.87313312,49.58020021,5
Accipiter striatus,Sharp-shinned Hawk,Accipiter striatus,North_America,25.168,25.03696123,25.29903877,49.994,49.98620559,50,50,50,50,0
Accipiter tachiro,African Goshawk,Accipiter tachiro,Africa,18.26590909,15.36960797,21.16221021,45.58636364,44.92520607,46.2475212,48.42954545,48.01159952,48.84749139,6
Accipiter toussenelii,Red-chested Goshawk,Accipiter toussenelii,Africa,8.636170213,7.180759231,10.0915812,34.81702128,33.23834147,36.39570108,48.5,47.98806152,49.01193848,3
Accipiter virgatus,Besra,Accipiter virgatus,Asia,2.702325581,1.579405622,3.825245541,31.54186047,29.85563057,33.22809036,49.65581395,49.45298493,49.85864298,7
Aceros nipalensis,Rufous-necked Hornbill,Aceros nipalensis,Asia,0,0,0,5.237777778,5.06731743,5.408238126,11.67111111,11.39760941,11.94461282,5
Acridotheres albocinctus,Collared Myna,Acridotheres albocinctus,Asia,23.66666667,22.71302183,24.62031151,33.45833333,32.70216429,34.21450238,40.34375,39.38283281,41.30466719,2
Acridotheres burmannicus,Burmese Myna,Acridotheres burmannicus,Asia,13.95957447,12.52199622,15.39715271,31.47021277,30.46720789,32.47321764,43.13191489,42.04643996,44.21738982,3
Acridotheres cristatellus,Crested Myna,Acridotheres cristatellus,Europe,39.47045455,36.61518704,42.32572205,49.44318182,49.3002153,49.58614833,50,50,50,6
Acridotheres cristatellus,Crested Myna,Acridotheres cristatellus,Asia,46.71,46.12304372,47.29695628,50,50,50,50,50,50,0
Acridotheres fuscus,Jungle Myna,Acridotheres fuscus,Asia,35.268,34.97941214,35.55658786,44.684,44.5920775,44.7759225,47.596,47.44884167,47.74315833,0
Acridotheres ginginianus,Bank Myna,Acridotheres ginginianus,Asia,27.07,26.89086842,27.24913158,42.866,42.5420321,43.1899679,49.96,49.90803725,50,0
Acridotheres grandis,Great Myna,Acridotheres grandis,Asia,34.32,33.4661326,35.1738674,50,50,50,50,50,50,0
Acridotheres javanicus,Javan Myna,Acridotheres javanicus,Asia,49.914,49.82308337,50,50,50,50,50,50,50,0
Acridotheres tristis,Common Myna,Acridotheres tristis,Africa,50,50,50,50,50,50,50,50,50,0
Acridotheres tristis,Common Myna,Acridotheres tristis,North_America,35.318,34.29372805,36.34227195,49.01,48.8093919,49.2106081,49.848,49.78664694,49.90935306,0
Acridotheres tristis,Common Myna,Acridotheres tristis,Oceania,50,50,50,50,50,50,50,50,50,0
Acridotheres tristis,Common Myna,Acridotheres tristis,Asia,42.212,41.78681816,42.63718184,49.98,49.95401862,50,50,50,50,0
Acrocephalus agricola,Paddyfield Warbler,Acrocephalus agricola,Europe,15.99375,14.97275474,17.01474526,28.26666667,27.83017137,28.70316196,37.48333333,37.00593013,37.96073653,2
Acrocephalus agricola,Paddyfield Warbler,Acrocephalus agricola,Asia,33.26938776,30.32076871,36.2180068,48.60816327,48.09085437,49.12547216,49.00408163,48.60260162,49.40556164,1
Acrocephalus arundinaceus,Great Reed Warbler,Acrocephalus arundinaceus,Africa,28.448,28.13703669,28.75896331,38.996,38.76255206,39.22944794,43.008,42.85968168,43.15631832,0
Acrocephalus arundinaceus,Great Reed Warbler,Acrocephalus arundinaceus,Asia,16.482,15.91686086,17.04713914,35.326,34.90315467,35.74884533,49.406,49.16630803,49.64569197,0
Acrocephalus arundinaceus,Great Reed Warbler,Acrocephalus arundinaceus,Europe,24.392,23.64010647,25.14389353,40.852,40.72639343,40.97760657,48.316,48.13510406,48.49689594,0
Acrocephalus australis,Australian Reed Warbler,Acrocephalus australis,Oceania,36.93,36.76470762,37.09529238,48.232,48.03897979,48.42502021,49.798,49.72107976,49.87492024,0
Acrocephalus baeticatus,African Reed Warbler,Acrocephalus scirpaceus,Europe,28.836,28.02770247,29.64429753,36.236,35.80539134,36.66660866,41.4,41.03974285,41.76025715,0
Acrocephalus baeticatus,African Reed Warbler,Acrocephalus scirpaceus,Africa,41.256,40.16917076,42.34282924,47.848,47.44365017,48.25234983,48.9,48.65193124,49.14806876,0
Acrocephalus bistrigiceps,Black-browed Reed Warbler,Acrocephalus bistrigiceps,Asia,29.538,29.25341515,29.82258485,41.972,41.61381299,42.33018701,49.862,49.7815433,49.9424567,0
Acrocephalus brevipennis,Cape Verde Swamp Warbler,Acrocephalus brevipennis,Africa,16.03095238,14.69813749,17.36376727,20.38095238,19.58640802,21.17549674,23.77619048,23.17670737,24.37567359,8
Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum,Asia,28.434,28.10281966,28.76518034,50,50,50,50,50,50,0
