Species1,Species2,Match.type,Match.notes,Avibase.ID1,Avibase.ID2,,,
Achaetops pycnopygius,Achaetops pycnopygius,1BL to 1eBird,,AVIBASE-35C5E4AF,AVIBASE-35C5E4AF,,,
Acridotheres albocinctus,Acridotheres albocinctus,1BL to 1eBird,,AVIBASE-EABE979B,AVIBASE-EABE979B,,,
Acridotheres burmannicus,Acridotheres burmannicus,Many BL to 1eBird,,AVIBASE-A0FB9485,AVIBASE-2241879F,,,
Acridotheres cinereus,Acridotheres cinereus,1BL to 1eBird,,AVIBASE-5FE2771C,AVIBASE-5FE2771C,,,
Acridotheres cristatellus,Acridotheres cristatellus,1BL to 1eBird,,AVIBASE-65BCBB64,AVIBASE-65BCBB64,,,
Acridotheres fuscus,Acridotheres fuscus,1BL to 1eBird,,AVIBASE-8724C64A,AVIBASE-8724C64A,,,
Acridotheres ginginianus,Acridotheres ginginianus,1BL to 1eBird,,AVIBASE-F8CFF92C,AVIBASE-F8CFF92C,,,
Acridotheres grandis,Acridotheres grandis,1BL to 1eBird,,AVIBASE-B483CC1C,AVIBASE-B483CC1C,,,
Acridotheres javanicus,Acridotheres javanicus,1BL to 1eBird,,AVIBASE-D70B61EE,AVIBASE-D70B61EE,,,
Acridotheres leucocephalus,Acridotheres burmannicus,Many BL to 1eBird,,AVIBASE-DDF650D1,AVIBASE-2241879F,,,
Acridotheres melanopterus,Acridotheres melanopterus,Many BL to 1eBird,,AVIBASE-462CDF14,AVIBASE-EC5675E3,,,
Acridotheres tertius,Acridotheres melanopterus,Many BL to 1eBird,,AVIBASE-8FEC2A63,AVIBASE-EC5675E3,,,
Acridotheres tricolor,Acridotheres melanopterus,Many BL to 1eBird,,AVIBASE-2CE58BE1,AVIBASE-EC5675E3,,,
Acridotheres tristis,Acridotheres tristis,1BL to 1eBird,,AVIBASE-F23A2F38,AVIBASE-F23A2F38,,,
Acritillas indica,Iole indica,1BL to 1eBird,,AVIBASE-36D71C61,AVIBASE-36D71C61,,,
Acrobatornis fonsecai,Acrobatornis fonsecai,1BL to 1eBird,,AVIBASE-E4FC9402,AVIBASE-E4FC9402,,,
Acrocephalus aequinoctialis,Acrocephalus aequinoctialis,1BL to 1eBird,,AVIBASE-55572D3B,AVIBASE-55572D3B,,,
Acrocephalus agricola,Acrocephalus agricola,1BL to 1eBird,,AVIBASE-781FE53F,AVIBASE-781FE53F,,,
Acrocephalus arundinaceus,Acrocephalus arundinaceus,1BL to 1eBird,,AVIBASE-B283E332,AVIBASE-B283E332,,,
Acrocephalus atyphus,Acrocephalus atyphus,1BL to 1eBird,,AVIBASE-32D8BFB9,AVIBASE-32D8BFB9,,,
Acrocephalus australis,Acrocephalus australis,1BL to many eBird,,AVIBASE-8700E651,AVIBASE-9597E0CA,,,
Acrocephalus australis,Acrocephalus sp.,1BL to many eBird,Species2 name used in cases where ambiguous locality data prevented match,AVIBASE-8700E651,AVIBASE-52440FBD,,,
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,1BL to 1eBird,,AVIBASE-1DB9A114,AVIBASE-1DB9A114,,,
Acrocephalus brevipennis,Acrocephalus brevipennis,1BL to 1eBird,,AVIBASE-AAABFBE8,AVIBASE-AAABFBE8,,,
Acrocephalus caffer,Acrocephalus caffer,1BL to 1eBird,,AVIBASE-EC5497E6,AVIBASE-EC5497E6,,,
Acrocephalus concinens,Acrocephalus concinens,1BL to 1eBird,,AVIBASE-F084CA99,AVIBASE-F084CA99,,,
Acrocephalus dumetorum,Acrocephalus dumetorum,1BL to 1eBird,,AVIBASE-B22EAFC8,AVIBASE-B22EAFC8,,,
Acrocephalus familiaris,Acrocephalus familiaris,1BL to 1eBird,,AVIBASE-C3F75059,AVIBASE-C3F75059,,,
Acrocephalus gracilirostris,Acrocephalus gracilirostris,1BL to 1eBird,,AVIBASE-4AA7817D,AVIBASE-4AA7817D,,,
Acrocephalus griseldis,Acrocephalus griseldis,1BL to 1eBird,,AVIBASE-0D42A253,AVIBASE-0D42A253,,,
Acrocephalus hiwae,Acrocephalus hiwae,1BL to 1eBird,,AVIBASE-121E8914,AVIBASE-121E8914,,,
Acrocephalus kerearako,Acrocephalus kerearako,1BL to 1eBird,,AVIBASE-87639F7A,AVIBASE-87639F7A,,,
Acrocephalus longirostris,Acrocephalus longirostris,1BL to 1eBird,,AVIBASE-C3251DE9,AVIBASE-C3251DE9,,,
Acrocephalus luscinius,Acrocephalus luscinius,1BL to 1eBird,,AVIBASE-EC92E596,AVIBASE-EC92E596,,,
Acrocephalus melanopogon,Acrocephalus melanopogon,1BL to 1eBird,,AVIBASE-E1559C49,AVIBASE-E1559C49,,,
Acrocephalus mendanae,Acrocephalus mendanae,1BL to 1eBird,,AVIBASE-1F6656EC,AVIBASE-1F6656EC,,,
Acrocephalus newtoni,Acrocephalus newtoni,1BL to 1eBird,,AVIBASE-6ED7C46F,AVIBASE-6ED7C46F,,,
Acrocephalus orientalis,Acrocephalus orientalis,1BL to 1eBird,,AVIBASE-9A6953ED,AVIBASE-9A6953ED,,,
Acrocephalus orinus,Acrocephalus orinus,1BL to 1eBird,,AVIBASE-6A9ED1BF,AVIBASE-6A9ED1BF,,,
Acrocephalus paludicola,Acrocephalus paludicola,1BL to 1eBird,,AVIBASE-C15141A6,AVIBASE-C15141A6,,,
Acrocephalus palustris,Acrocephalus palustris,1BL to 1eBird,,AVIBASE-B675E006,AVIBASE-B675E006,,,
Acrocephalus percernis,Acrocephalus percernis,1BL to 1eBird,,AVIBASE-1EFA97FA,AVIBASE-1EFA97FA,,,
Acrocephalus rehsei,Acrocephalus rehsei,1BL to 1eBird,,AVIBASE-50256AE7,AVIBASE-50256AE7,,,
Acrocephalus rimitarae,Acrocephalus rimitarae,1BL to 1eBird,,AVIBASE-212D4791,AVIBASE-212D4791,,,
Acrocephalus rodericanus,Acrocephalus rodericanus,1BL to 1eBird,,AVIBASE-DDF77AB5,AVIBASE-DDF77AB5,,,
Acrocephalus rufescens,Acrocephalus rufescens,1BL to 1eBird,,AVIBASE-C8857CC8,AVIBASE-C8857CC8,,,
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,1BL to 1eBird,,AVIBASE-FED5AED5,AVIBASE-FED5AED5,,,
Acrocephalus scirpaceus,Acrocephalus baeticatus,1BL to many eBird,,AVIBASE-3F0EE474,AVIBASE-34E27C2A,,,
Acrocephalus scirpaceus,Acrocephalus scirpaceus,1BL to many eBird,,AVIBASE-3F0EE474,AVIBASE-464D1419,,,
Acrocephalus sechellensis,Acrocephalus sechellensis,1BL to 1eBird,,AVIBASE-E0E4DFB8,AVIBASE-E0E4DFB8,,,
Acrocephalus sorghophilus,Acrocephalus sorghophilus,1BL to 1eBird,,AVIBASE-D96A9FC9,AVIBASE-D96A9FC9,,,
Acrocephalus stentoreus,Acrocephalus sp.,1BL to many eBird,Species2 name used in cases where ambiguous locality data prevented match,AVIBASE-87CE2BC7,AVIBASE-52440FBD,,,
Acrocephalus stentoreus,Acrocephalus stentoreus,1BL to many eBird,,AVIBASE-87CE2BC7,AVIBASE-D793DF5A,,,
Acrocephalus syrinx,Acrocephalus syrinx,1BL to 1eBird,,AVIBASE-8CF71142,AVIBASE-8CF71142,,,
Acrocephalus taiti,Acrocephalus taiti,1BL to 1eBird,,AVIBASE-48FBC371,AVIBASE-48FBC371,,,
Acrocephalus tangorum,Acrocephalus tangorum,1BL to 1eBird,,AVIBASE-A5134675,AVIBASE-A5134675,,,
Acrocephalus vaughani,Acrocephalus vaughani,1BL to 1eBird,,AVIBASE-162AE792,AVIBASE-162AE792,,,
Acropternis orthonyx,Acropternis orthonyx,1BL to 1eBird,,AVIBASE-6B6D07C9,AVIBASE-6B6D07C9,,,
Acryllium vulturinum,Acryllium vulturinum,1BL to 1eBird,,AVIBASE-F7A3FA35,AVIBASE-F7A3FA35,,,
Actenoides bougainvillei,Actenoides bougainvillei,Many BL to 1eBird,,AVIBASE-97D9D953,AVIBASE-803B79B9,,,
Actenoides capucinus,Actenoides monachus,Many BL to 1eBird,,AVIBASE-4C744DC4,AVIBASE-1D15CDDD,,,
Actenoides concretus,Actenoides concretus,1BL to 1eBird,,AVIBASE-4A150CE8,AVIBASE-4A150CE8,,,
Actenoides excelsus,Actenoides bougainvillei,Many BL to 1eBird,,AVIBASE-53C44102,AVIBASE-803B79B9,,,
Actenoides hombroni,Actenoides hombroni,1BL to 1eBird,,AVIBASE-171AA689,AVIBASE-171AA689,,,
Actenoides lindsayi,Actenoides lindsayi,1BL to 1eBird,,AVIBASE-0FDF970A,AVIBASE-0FDF970A,,,
Actenoides monachus,Actenoides monachus,Many BL to 1eBird,,AVIBASE-26AD22E0,AVIBASE-1D15CDDD,,,
Actenoides princeps,Actenoides princeps,Many BL to 1eBird,,AVIBASE-C0B45D6E,AVIBASE-E26A54EC,,,
Actenoides regalis,Actenoides princeps,Many BL to 1eBird,,AVIBASE-558D8C00,AVIBASE-E26A54EC,,,
Actinodura egertoni,Actinodura egertoni,1BL to 1eBird,,AVIBASE-34B1C50C,AVIBASE-34B1C50C,,,
Actinodura radcliffei,Actinodura ramsayi,Many BL to 1eBird,,AVIBASE-2CCD5892,AVIBASE-6D30E624,,,
Actinodura ramsayi,Actinodura ramsayi,Many BL to 1eBird,,AVIBASE-FEA407F5,AVIBASE-6D30E624,,,
Actinodura sodangorum,Actinodura sodangorum,1BL to 1eBird,,AVIBASE-E5AD68C4,AVIBASE-E5AD68C4,,,
Actitis hypoleucos,Actitis hypoleucos,1BL to 1eBird,,AVIBASE-8548B07E,AVIBASE-8548B07E,,,
Actitis macularius,Actitis macularius,1BL to 1eBird,,AVIBASE-0D88C072,AVIBASE-0D88C072,,,
Actophilornis africanus,Actophilornis africanus,1BL to 1eBird,,AVIBASE-D16D486D,AVIBASE-D16D486D,,,
Actophilornis albinucha,Actophilornis albinucha,1BL to 1eBird,,AVIBASE-640D2B03,AVIBASE-640D2B03,,,
Adelomyia melanogenys,Adelomyia melanogenys,1BL to 1eBird,,AVIBASE-0A1A1F0F,AVIBASE-0A1A1F0F,,,
Aechmophorus clarkii,Aechmophorus clarkii,1BL to 1eBird,,AVIBASE-D05FFEF7,AVIBASE-D05FFEF7,,,
Aechmophorus occidentalis,Aechmophorus occidentalis,1BL to 1eBird,,AVIBASE-C6E1197B,AVIBASE-C6E1197B,,,
Aegithalos annamensis,Aegithalos concinnus,Many BL to 1eBird,,AVIBASE-7ED19F0D,AVIBASE-94C5E135,,,
Aegithalos bonvaloti,Aegithalos iouschistos,Many BL to 1eBird,,AVIBASE-3B5E1616,AVIBASE-BBE88519,,,
Aegithalos caudatus,Aegithalos caudatus,1BL to 1eBird,,AVIBASE-547163C2,AVIBASE-547163C2,,,
Aegithalos concinnus,Aegithalos concinnus,Many BL to 1eBird,,AVIBASE-A75E9867,AVIBASE-94C5E135,,,
Aegithalos fuliginosus,Aegithalos fuliginosus,1BL to 1eBird,,AVIBASE-2DAF0C85,AVIBASE-2DAF0C85,,,
Aegithalos glaucogularis,Aegithalos glaucogularis,1BL to 1eBird,,AVIBASE-67134AC3,AVIBASE-67134AC3,,,
Aegithalos iouschistos,Aegithalos iouschistos,Many BL to 1eBird,,AVIBASE-D456F669,AVIBASE-BBE88519,,,
Aegithalos iredalei,Aegithalos concinnus,Many BL to 1eBird,,AVIBASE-3A1C959D,AVIBASE-94C5E135,,,
Aegithalos leucogenys,Aegithalos leucogenys,1BL to 1eBird,,AVIBASE-AC5C8F67,AVIBASE-AC5C8F67,,,
Aegithalos niveogularis,Aegithalos niveogularis,1BL to 1eBird,,AVIBASE-E6E37DE5,AVIBASE-E6E37DE5,,,
Aegithina lafresnayei,Aegithina lafresnayei,1BL to 1eBird,,AVIBASE-D00A485D,AVIBASE-D00A485D,,,
Aegithina nigrolutea,Aegithina nigrolutea,1BL to 1eBird,,AVIBASE-C3E4EF0E,AVIBASE-C3E4EF0E,,,
Aegithina tiphia,Aegithina tiphia,1BL to 1eBird,,AVIBASE-EEC311EA,AVIBASE-EEC311EA,,,
Aegithina viridissima,Aegithina viridissima,1BL to 1eBird,,AVIBASE-418B6BE2,AVIBASE-418B6BE2,,,
Aegolius acadicus,Aegolius acadicus,1BL to 1eBird,,AVIBASE-26BA25EF,AVIBASE-26BA25EF,,,
Aegolius funereus,Aegolius funereus,1BL to 1eBird,,AVIBASE-8AB4EAF6,AVIBASE-8AB4EAF6,,,
Aegolius harrisii,Aegolius harrisii,1BL to 1eBird,,AVIBASE-10C68CA3,AVIBASE-10C68CA3,,,
Aegolius ridgwayi,Aegolius ridgwayi,1BL to 1eBird,,AVIBASE-6439759F,AVIBASE-6439759F,,,
Aegotheles affinis,Aegotheles affinis,1BL to 1eBird*,Imperfect match: eBird taxon excludes subspecies terborghi,AVIBASE-3CDD6AA9,AVIBASE-A2A0B21A,,,
Aegotheles albertisi,Aegotheles albertisi,1BL to 1eBird,,AVIBASE-482087E5,AVIBASE-482087E5,,,
Aegotheles archboldi,Aegotheles archboldi,1BL to 1eBird,,AVIBASE-6974CD34,AVIBASE-6974CD34,,,
Aegotheles bennettii,Aegotheles bennettii,1BL to 1eBird*,Imperfect match: eBird taxon includes subspecies terborghi,AVIBASE-6417F60A,AVIBASE-32292757,,,
Aegotheles crinifrons,Aegotheles crinifrons,1BL to 1eBird,,AVIBASE-83BA78F5,AVIBASE-83BA78F5,,,
Aegotheles cristatus,Aegotheles cristatus,1BL to 1eBird,,AVIBASE-175A7534,AVIBASE-175A7534,,,
Aegotheles insignis,Aegotheles insignis,1BL to 1eBird,,AVIBASE-76F38417,AVIBASE-76F38417,,,
Aegotheles savesi,Aegotheles savesi,1BL to 1eBird,,AVIBASE-7D6D30A3,AVIBASE-7D6D30A3,,,
Aegotheles tatei,Aegotheles tatei,1BL to 1eBird,,AVIBASE-EBD55D2E,AVIBASE-EBD55D2E,,,
Aegotheles wallacii,Aegotheles wallacii,1BL to 1eBird,,AVIBASE-27853C12,AVIBASE-27853C12,,,
Aegypius monachus,Aegypius monachus,1BL to 1eBird,,AVIBASE-158BDC90,AVIBASE-158BDC90,,,
Aepypodius arfakianus,Aepypodius arfakianus,1BL to 1eBird,,AVIBASE-06637487,AVIBASE-06637487,,,
Aepypodius bruijnii,Aepypodius bruijnii,1BL to 1eBird,,AVIBASE-638C9A70,AVIBASE-638C9A70,,,
Aerodramus bartschi,Aerodramus bartschi,1BL to 1eBird,,AVIBASE-F8E58F0F,AVIBASE-F8E58F0F,,,
Aerodramus brevirostris,Aerodramus brevirostris,1BL to 1eBird,,AVIBASE-2F1D27B4,AVIBASE-2F1D27B4,,,
Aerodramus elaphrus,Aerodramus elaphrus,1BL to 1eBird,,AVIBASE-C983661F,AVIBASE-C983661F,,,
Aerodramus francicus,Aerodramus francicus,1BL to 1eBird,,AVIBASE-C831C041,AVIBASE-C831C041,,,
Aerodramus fuciphagus,Aerodramus fuciphagus,1BL to many eBird,,AVIBASE-FF38B8FB,AVIBASE-F9EE54D9,,,
Aerodramus fuciphagus,Aerodramus germani,1BL to many eBird,,AVIBASE-FF38B8FB,AVIBASE-842DAA43,,,
Aerodramus hirundinaceus,Aerodramus hirundinaceus,1BL to 1eBird,,AVIBASE-942DE41C,AVIBASE-942DE41C,,,
Aerodramus infuscatus,Aerodramus ceramensis,1BL to many eBird,,AVIBASE-90683CCB,AVIBASE-C5170049,,,
Aerodramus infuscatus,Aerodramus infuscatus,1BL to many eBird,,AVIBASE-90683CCB,AVIBASE-9CC0E11C,,,
Aerodramus infuscatus,Aerodramus sororum,1BL to many eBird,,AVIBASE-90683CCB,AVIBASE-B9AA3E2C,,,
Aerodramus inquietus,Aerodramus inquietus,1BL to 1eBird,,AVIBASE-FEC866D0,AVIBASE-FEC866D0,,,
Aerodramus leucophaeus,Aerodramus leucophaeus,1BL to many eBird,Imperfect match: eBird taxon excludes subspecies ocistus,AVIBASE-4544C16E,AVIBASE-C5561B75,,,
Aerodramus leucophaeus,Aerodramus ocistus,1BL to many eBird,,AVIBASE-4544C16E,AVIBASE-E4A4B821,,,
Aerodramus maximus,Aerodramus maximus,1BL to 1eBird,,AVIBASE-76179577,AVIBASE-76179577,,,
Aerodramus mearnsi,Aerodramus mearnsi,1BL to 1eBird,,AVIBASE-E1E2B0EB,AVIBASE-E1E2B0EB,,,
Aerodramus nuditarsus,Aerodramus nuditarsus,1BL to 1eBird,,AVIBASE-31CA6790,AVIBASE-31CA6790,,,
Aerodramus orientalis,Aerodramus orientalis,1BL to 1eBird,,AVIBASE-49FEFB24,AVIBASE-49FEFB24,,,
Aerodramus papuensis,Aerodramus papuensis,1BL to 1eBird,,AVIBASE-10591B00,AVIBASE-10591B00,,,
Aerodramus pelewensis,Aerodramus pelewensis,1BL to 1eBird,,AVIBASE-FF57D121,AVIBASE-FF57D121,,,
Aerodramus salangana,Aerodramus salangana,1BL to 1eBird,,AVIBASE-8630DD29,AVIBASE-8630DD29,,,
Aerodramus sawtelli,Aerodramus sawtelli,1BL to 1eBird,,AVIBASE-C6C43CDC,AVIBASE-C6C43CDC,,,
Aerodramus spodiopygius,Aerodramus spodiopygius,1BL to 1eBird,,AVIBASE-E1989B1D,AVIBASE-E1989B1D,,,
Aerodramus terraereginae,Aerodramus terraereginae,1BL to 1eBird,,AVIBASE-CB433EED,AVIBASE-CB433EED,,,
Aerodramus unicolor,Aerodramus unicolor,1BL to 1eBird,,AVIBASE-F14B0031,AVIBASE-F14B0031,,,
