"species","iucn.ordinal","max.acad","trend","bl.range.size","range.size","median.abund","hti","mig.distance","ebird.mig.dist","edge.score","sp.dist","gen.field","morph.field"
"Saltator_orenocensis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltatricula_atricollis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Saltatricula_multicolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Emberizoides_duidae",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,0.05,1,0.05,0.05
"Emberizoides_herbicola",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Emberizoides_ypiranganus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Embernagra_longicauda",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Embernagra_platensis",1,0.1,3,1,3,4,4,1,3,1,1,1,1
"Coryphaspiza_melanotis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Diglossa_gloriosa",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_humeralis",1,0.1,3,1,3,4,4,1,3,1,1,1,1
"Diglossa_brunneiventris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_carbonaria",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_albilatera",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_venezuelensis",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Diglossa_duidae",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Diglossa_major",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Diglossa_gloriosissima",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_lafresnayii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_mystacalis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_baritula",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_plumbea",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_sittoides",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_indigotica",1,0.1,0.15,0.05,0.15,0.2,0.2,1,3,1,1,1,1
"Diglossa_caerulescens",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_cyanea",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Diglossa_glauca",1,0.1,0.15,0.05,0.15,0.2,4,1,3,1,1,1,1
"Catamenia_homochroa",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Catamenia_inornata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Catamenia_analis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Acanthidops_bairdi",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Haplospiza_rustica",1,2,0.15,0.05,0.15,0.2,0.2,0.05,3,1,0.05,1,1
"Geospizopsis_plebejus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Geospizopsis_unicolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Haplospiza_unicolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Idiopsar_brachyurus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Idiopsar_speculifer",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Idiopsar_dorsalis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Idiopsar_erythronotus",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Xenodacnis_parina",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_lutea",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_raimondii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_auriventris",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Sicalis_olivascens",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_lebruni",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_mendozae",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Sicalis_luteocephala",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_uropygialis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_taczanowskii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_columbiana",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_luteola",1,2,3,1,3,4,4,1,3,1,1,1,1
"Sicalis_flaveola",1,2,3,1,3,4,4,1,3,1,1,1,1
"Melanodera_melanodera",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Melanodera_xanthogramma",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Rowettia_goughensis",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Nesospiza_questi",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Nesospiza_wilkinsi",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Nesospiza_acunhae",1,0.1,0.15,1,0.15,0.2,0.2,1,0.15,1,1,1,1
"Phrygilus_atriceps",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Phrygilus_punensis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Phrygilus_gayi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Phrygilus_patagonicus",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Sicalis_citrina",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_cinereum",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_rufum",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Conirostrum_tamarugense",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Conirostrum_ferrugineiventre",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_sitticolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_binghami",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_albifrons",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_leucogenys",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_speciosum",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_bicolor",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Conirostrum_margaritae",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Charitospiza_eucosma",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Stilpnia_heinei",1,0.1,0.15,1,3,4,4,1,3,1,1,1,1
